Condition_Time	gene	geneName	baseMean	log2FC	stderror	padj
RS_240	CNAG_00311	CNAG_00311	547.85	-0.24688	0.13475	0.20988
RS_240	CNAG_00312	CNAG_00312	138.61	-0.22611	0.15281	0.32918
RS_240	CNAG_00313	CNAG_00313	130.68	0.21267	0.13338	0.28715
RS_240	CNAG_00314	CNAG_00314	101.77	-0.12093	0.13902	0.60918
RS_240	CNAG_00315	CNAG_00315	400.33	-1.08	0.30192	0.0045565
RS_240	CNAG_00316	HAM1	223.59	-0.071356	0.10384	0.69467
RS_240	CNAG_00317	CNAG_00317	508.92	0.24117	0.19226	0.42676
RS_240	CNAG_00318	CNAG_00318	618.47	-0.52211	0.19795	0.053177
RS_240	CNAG_00319	CNAG_00319	428.61	0.30969	0.13753	0.10894
RS_240	CNAG_00320	CNAG_00320	142.72	-0.021373	0.13629	0.94399
RS_240	CNAG_00321	CNAG_00321	58.231	1.1432	0.80897	0.35591
RS_240	CNAG_00322	CNAG_00322	213.64	0.45402	0.20084	0.10742
RS_240	CNAG_00323	CNAG_00323	2.1248	0.37911	0.77789	0.79606
RS_240	CNAG_00326	CNAG_00326	1034	-0.051248	0.12142	0.82637
RS_240	CNAG_00327	CNAG_00327	55.367	0.35471	0.21522	0.26785
RS_240	CNAG_00328	CNAG_00328	260.13	0.10856	0.22119	0.79415
RS_240	CNAG_00329	CNAG_00329	584.88	-0.096536	0.20405	0.80323
RS_240	CNAG_00330	CNAG_00330	670.86	0.16157	0.16284	0.54672
RS_240	CNAG_00331	CNAG_00331	135.63	0.90687	0.20169	1.5577e-4
RS_240	CNAG_00332	SIP4	497.04	1.307	0.16594	3.4084e-13
RS_240	CNAG_00333	CNAG_00333	30.766	0.034288	0.25344	0.95129
RS_240	CNAG_00334	CNAG_00334	18024	-0.074834	0.14622	0.78406
RS_240	CNAG_00335	CNAG_00335	330.56	0.09983	0.13403	0.66773
RS_240	CNAG_00337	CNAG_00337	1037.3	0.31219	0.12871	0.080389
RS_240	CNAG_00342	CNAG_00342	454.06	0.04106	0.12198	0.86785
RS_240	CNAG_00343	CNAG_00343	57.656	0.14985	0.18163	0.63085
RS_240	CNAG_00344	CNAG_00344	79.843	0.069155	0.15488	0.8155
RS_240	CNAG_00345	CNAG_00345	397.71	-0.52081	0.17215	0.02168
RS_240	CNAG_00346	CNAG_00346	128.11	-0.55072	0.19293	0.032097
RS_240	CNAG_00347	CNAG_00347	235.15	-0.13024	0.21545	0.73607
RS_240	CNAG_00348	CNAG_00348	606.66	-0.02086	0.16034	0.95312
RS_240	CNAG_00349	CNAG_00349	451.57	-0.40451	0.2351	0.24337
RS_240	CNAG_00351	CNAG_00351	224.49	-0.31362	0.14637	0.13125
RS_240	CNAG_00352	CNAG_00352	379.41	-0.46437	0.18211	0.061925
RS_240	CNAG_00353	LPI16	150.13	-0.13078	0.17442	0.66565
RS_240	CNAG_00354	CNAG_00354	1044.5	0.16607	0.089562	0.20459
RS_240	CNAG_00355	CNAG_00355	1087.9	0.23841	0.13806	0.24196
RS_240	CNAG_00356	CNAG_00356	301.74	0.096731	0.18063	0.77154
RS_240	CNAG_00357	CNAG_00357	250.06	-0.054789	0.12523	0.82
RS_240	CNAG_00358	CNAG_00358	295.5	-0.50482	0.14171	0.0047691
RS_240	CNAG_00359	CNAG_00359	385.34	0.31399	0.14938	0.14108
RS_240	CNAG_00360	CNAG_00360	778.39	-0.53334	0.19261	0.039861
RS_240	CNAG_00361	RVS167	573.7	-0.416	0.16217	0.060484
RS_240	CNAG_00362	CNAG_00362	222.62	0.14792	0.12583	0.46266
RS_240	CNAG_00363	TCO6	744.31	0.18728	0.1484	0.42265
RS_240	CNAG_00364	CNAG_00364	226.55	4.8515e-4	0.14309	0.99908
RS_240	CNAG_00365	CNAG_00365	264.61	-0.1558	0.11912	0.40271
RS_240	CNAG_00366	CNAG_00366	21.469	0.40995	0.44305	0.58035
RS_240	CNAG_00367	DYN5	130.29	0.55522	0.17215	0.012934
RS_240	CNAG_00368	CNAG_00368	124.38	0.49174	0.1453	0.0082056
RS_240	CNAG_00369	CNAG_00369	263.63	-0.047633	0.14814	0.87439
RS_240	CNAG_00370	UBI1	4869.1	0.22671	0.16173	0.36027
RS_240	CNAG_00371	CNAG_00371	56.971	-0.30655	0.20216	0.31564
RS_240	CNAG_00372	CNAG_00372	332.56	0.5543	0.18182	0.020549
RS_240	CNAG_00373	CNAG_00373	81.692	0.65841	0.23263	0.033956
RS_240	CNAG_00374	CNAG_00374	917.29	1.0409	0.19126	1.8977e-6
RS_240	CNAG_00375	GCN5	319.41	-0.051538	0.1187	0.82149
RS_240	CNAG_00377	CNAG_00377	431.54	0.022068	0.1814	0.95561
RS_240	CNAG_00378	CNAG_00378	308.35	0.33499	0.32976	0.53546
RS_240	CNAG_00383	APT3	327.17	-0.048032	0.12315	0.84416
RS_240	CNAG_00384	CNAG_00384	12.38	0.52523	0.30276	0.24004
RS_240	CNAG_00385	CNAG_00385	598.37	-0.043255	0.15394	0.89223
RS_240	CNAG_00386	CNAG_00386	736.21	0.14982	0.20063	0.66711
RS_240	CNAG_00387	LPI13	268.52	-0.10462	0.11623	0.59442
RS_240	CNAG_00388	CNAG_00388	535.55	0.25514	0.12574	0.15772
RS_240	CNAG_00389	CNAG_00389	223.32	0.44098	0.14158	0.017228
RS_240	CNAG_00390	YMR1	82.559	0.35121	0.16331	0.1297
RS_240	CNAG_00391	CNAG_00391	255.18	0.13854	0.31416	0.81881
RS_240	CNAG_00392	CNAG_00392	64.308	0.19194	0.22355	0.61536
RS_240	CNAG_00393	CNAG_00393	759.36	-1.4635	0.47737	0.019697
RS_240	CNAG_00394	CNAG_00394	1652.4	-0.53321	0.20066	0.051042
RS_240	CNAG_00395	CNAG_00395	224.93	-0.033829	0.14027	0.90899
RS_240	CNAG_00396	PKA1	308.05	0.036694	0.13111	0.89291
RS_240	CNAG_00397	CNAG_00397	179.53	1.1147	0.45497	0.07677
RS_240	CNAG_00398	CNAG_00398	505.25	0.74632	0.16388	1.2354e-4
RS_240	CNAG_00399	CNAG_00399	760.18	-1.578	0.16176	3.2136e-20
RS_240	CNAG_00400	CNAG_00400	668.1	-1.4882	0.16169	5.7216e-18
RS_240	CNAG_00401	CNAG_00401	212.79	-0.25096	0.13089	0.18732
RS_240	CNAG_00402	CNAG_00402	979.42	0.34406	0.21028	0.27204
RS_240	CNAG_00403	CNAG_00403	71.623	0.17136	0.20186	0.62007
RS_240	CNAG_00404	CNAG_00404	334.16	0.84416	0.22503	0.0026938
RS_240	CNAG_00405	KIC1	135.84	0.50274	0.1339	0.0026756
RS_240	CNAG_00406	CNAG_00406	76.086	-0.45916	0.19815	0.098151
RS_240	CNAG_00407	CNAG_00407	989.7	0.41542	0.19708	0.13975
RS_240	CNAG_00408	PPH3	1446.1	0.292	0.17778	0.26957
RS_240	CNAG_00409	CNAG_00409	105.36	-0.0077288	0.26415	0.98655
RS_240	CNAG_00410	CNAG_00410	366.46	0.021721	0.094783	0.91461
RS_240	CNAG_00411	CNAG_00411	338.7	-0.14435	0.12706	0.47941
RS_240	CNAG_00413	OFD1	971.68	0.19614	0.11575	0.25241
RS_240	CNAG_00414	MAK32	86.901	0.13703	0.18141	0.66361
