gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00250	CNAG_00250	171.95	-0.065908	0.22838	0.97198
CNAG_00251	CNAG_00251	54.049	0.41233	0.2526	0.65776
CNAG_00252	CNAG_00252	241.85	0.13272	0.14176	0.87338
CNAG_00253	CNAG_00253	85.547	0.38108	0.42317	0.88074
CNAG_00254	CNAG_00254	428.6	-0.14543	0.20338	0.90909
CNAG_00255	CNAG_00255	387.54	0.20125	0.12334	0.65776
CNAG_00256	CNAG_00256	702.82	0.068168	0.1372	0.94356
CNAG_00257	CNAG_00257	205.58	0.076784	0.18852	0.95736
CNAG_00258	CNAG_00258	122.12	9.8803e-7	0.21792	1
CNAG_00259	CNAG_00259	818	0.082876	0.11501	0.90909
CNAG_00260	CNAG_00260	623.62	0.36791	0.14836	0.34553
CNAG_00261	CNAG_00261	2267.1	0.044147	0.095204	0.95205
CNAG_00262	CNAG_00262	264.16	0.098431	0.16953	0.92831
CNAG_00263	PTP4	290.03	-0.089748	0.14122	0.91999
CNAG_00264	CNAG_00264	1240.4	0.27765	0.13899	0.52848
CNAG_00265	IDI1	1337.5	0.32179	0.14138	0.44233
CNAG_00266	YFH7	144.83	0.086666000000000007	0.24359	0.96409
CNAG_00267	CNAG_00267	82.122	-0.24838	0.24963	0.85669
CNAG_00268	ILV2	1925.1	0.037234	0.16477	0.97485
CNAG_00269	CNAG_00269	18.704	-2.2541	0.56874	0.010445
CNAG_00270	CNAG_00270	1727.1	0.004559	0.099843	0.99655
CNAG_00271	CNAG_00271	215.6	-0.048548	0.13226	0.96369
CNAG_00272	CNAG_00272	280.12	0.050247	0.13546	0.96369
CNAG_00273	CNAG_00273	72.101	-0.043848	0.20838	0.97662
CNAG_00274	CNAG_00274	116.32	-0.18274	0.22686	0.89593
CNAG_00275	CNAG_00275	48.932	-0.22291	0.28074	0.89593
CNAG_00276	CNAG_00276	158.2	-0.002005	0.21178	0.99812
CNAG_00277	CNAG_00277	191.66	0.063739	0.13058	0.94579
CNAG_00278	CNAG_00278	324.27	0.15437	0.15576	0.85768
CNAG_00279	CNAG_00279	235.87	-0.26437	0.22105	0.79929
CNAG_00280	CNAG_00280	796.94	0.092775	0.13243	0.91119000000000006
CNAG_00283	CNAG_00283	113.25	-0.16182	0.18076	0.88074
CNAG_00284	CNAG_00284	179.18	0.045305	0.12588	0.96409
CNAG_00285	CNAG_00285	158.64	-1.0086	0.30999	0.077241
CNAG_00286	NAB2	576.44	0.10598	0.11984	0.88325
CNAG_00287	CNAG_00287	1773.9	-0.44054	0.18638	0.39931
CNAG_00288	CNAG_00288	183.93	0.30558	0.16455	0.58182
CNAG_00289	CNAG_00289	224.34	-0.0039619	0.19915	0.99655
CNAG_00290	CNAG_00290	344.86	-0.091524	0.1838	0.94349
CNAG_00291	CNAG_00291	34.502	-0.2083	0.3346	0.92295
CNAG_00292	CNAG_00292	2679.1	-0.0013339	0.09474	0.99693
CNAG_00293	RAS1	657.52	0.0077234	0.12304	0.99607
CNAG_00294	CNAG_00294	355.24	-0.23256	0.11828	0.53213
CNAG_00295	CNAG_00295	4.7563	0.41846	0.50135	0.88995
CNAG_00299	CNAG_00299	253.53	0.067941	0.14856	0.95211
CNAG_00300	CNAG_00300	318.61	0.095786	0.14846	0.91996
CNAG_00301	CNAG_00301	433.38	-0.43102	0.22947	0.57392
CNAG_00302	CNAG_00302	58.752	-0.030637	0.4834	0.99573
CNAG_00303	CNAG_00303	21.686	-0.37266	0.27009	0.74318
CNAG_00304	CNAG_00304	230.27	0.063606	0.14542	0.95258
CNAG_00305	CNAG_00305	2879.4	-0.50899	0.14444	0.037473
CNAG_00306	MTN2	37.33	0.56447	0.41248	0.74533
CNAG_00307	CNAG_00307	1417.1	0.14664	0.13395	0.82559
CNAG_00308	CNAG_00308	85.377	-0.1031	0.2609	0.96021
CNAG_00309	CNAG_00309	202.53	0.06667	0.12923	0.93907
CNAG_00310	CNAG_00310	174.85	0.0037133	0.16252	0.99655
CNAG_00311	CNAG_00311	587	-0.16264	0.12083	0.75809
CNAG_00312	CNAG_00312	146.99	0.14383	0.19064	0.90267
CNAG_00313	CNAG_00313	135.8	0.16646	0.13522	0.78923
CNAG_00314	CNAG_00314	85.586	-0.2963	0.30458	0.86708
CNAG_00315	CNAG_00315	152.39	0.23512	0.37509	0.92276
CNAG_00316	HAM1	258.79	-0.045141	0.14378	0.96878
CNAG_00317	CNAG_00317	515.15	-0.078105	0.16375	0.9495
