Condition_Time	gene	geneName	baseMean	log2FC	stderror	padj
Y_0	CNAG_00403	CNAG_00403	71.623	-0.11384	0.18174	0.76967
Y_0	CNAG_00404	CNAG_00404	334.16	0.41809	0.21903	0.23027
Y_0	CNAG_00405	KIC1	135.84	0.27233	0.16749	0.33172
Y_0	CNAG_00406	CNAG_00406	76.086	-0.18082	0.19849	0.64134
Y_0	CNAG_00407	CNAG_00407	989.7	1.2672	0.19897	6.1516e-8
Y_0	CNAG_00408	PPH3	1446.1	-0.25633	0.17313	0.38916
Y_0	CNAG_00409	CNAG_00409	105.36	-0.19477	0.26359	0.71758
Y_0	CNAG_00410	CNAG_00410	366.46	0.01468	0.10528	0.95571
Y_0	CNAG_00411	CNAG_00411	338.7	-0.011942	0.12447	0.97261
Y_0	CNAG_00413	OFD1	971.68	-0.041409	0.1429	0.90205
Y_0	CNAG_00414	MAK32	86.901	-0.21077	0.21191	0.60345
Y_0	CNAG_00415	CDC2801	128.37	-0.31433	0.16823	0.2429
