Condition_Time	gene	geneName	baseMean	log2FC	stderror	padj
R_30	CNAG_00261	CNAG_00261	2131.7	0.88356	0.10895	6.8609e-13
R_30	CNAG_00262	CNAG_00262	231.7	0.24917	0.16606	0.40115
R_30	CNAG_00263	PTP4	285.95	0.090825	0.13818	0.76225
R_30	CNAG_00264	CNAG_00264	1228.9	0.47791	0.16048	0.043508
R_30	CNAG_00265	IDI1	1116.2	0.065074	0.15035	0.85433
R_30	CNAG_00266	YFH7	135.89	-0.47854	0.23678	0.21905
R_30	CNAG_00267	CNAG_00267	83.13	-0.24732	0.23661	0.59841
R_30	CNAG_00268	ILV2	1581.5	0.0079929	0.17021	0.99104
R_30	CNAG_00269	CNAG_00269	21.626	0.0045097	0.43773	0.99881
R_30	CNAG_00270	CNAG_00270	1509.3	-0.12181	0.12517	0.62722
R_30	CNAG_00271	CNAG_00271	208.59	0.11667	0.1405	0.68859
R_30	CNAG_00272	CNAG_00272	254.56	-0.18898	0.14348	0.47598
R_30	CNAG_00273	CNAG_00273	71.957	-0.3181	0.2122	0.4012
R_30	CNAG_00274	CNAG_00274	109.09	-0.10946	0.22447	0.83378
R_30	CNAG_00275	CNAG_00275	45.344	-0.16267	0.27273	0.78829
R_30	CNAG_00276	CNAG_00276	163.31	-0.3215	0.21301	0.39702
R_30	CNAG_00277	CNAG_00277	169.81	0.2645	0.13526	0.23721
R_30	CNAG_00278	CNAG_00278	273.83	-0.12363	0.15829	0.71171
R_30	CNAG_00279	CNAG_00279	216.39	-0.36217	0.21587	0.33143
R_30	CNAG_00280	CNAG_00280	709.95	-0.05273	0.13704	0.87107
R_30	CNAG_00283	CNAG_00283	169.76	0.56945	0.19887	0.053342
R_30	CNAG_00284	CNAG_00284	316.6	-0.034726	0.1246	0.91434
R_30	CNAG_00285	CNAG_00285	169.96	-0.018243	0.29414	0.98759
R_30	CNAG_00286	NAB2	555.9	0.10465	0.11843	0.6659
R_30	CNAG_00287	CNAG_00287	1487.1	-0.06921	0.18661	0.87697
R_30	CNAG_00288	CNAG_00288	208.22	0.066834	0.17298	0.87073
R_30	CNAG_00289	CNAG_00289	201.84	-0.095539	0.20518	0.84188
R_30	CNAG_00290	CNAG_00290	329.78	-0.07113	0.19146	0.87681
R_30	CNAG_00291	CNAG_00291	30.141	0.17149	0.33113	0.82304
R_30	CNAG_00292	CNAG_00292	2250.5	0.28921	0.097555	0.044687
R_30	CNAG_00293	RAS1	579.72	0.12741	0.12894	0.6238
R_30	CNAG_00294	CNAG_00294	322.42	-0.15008	0.12748	0.53857
R_30	CNAG_00295	CNAG_00295	4.061	0.52611	0.58215	0.65789
R_30	CNAG_00299	CNAG_00299	217.52	0.60346	0.16488	0.0086876
R_30	CNAG_00300	CNAG_00300	294.71	-0.034062	0.14887	0.93025
R_30	CNAG_00301	CNAG_00301	637.62	0.5574	0.2374	0.13592
R_30	CNAG_00302	CNAG_00302	49.056	3.055	0.57305	2.0695e-5
R_30	CNAG_00303	CNAG_00303	20.692	0.89234	0.28654	0.032576
R_30	CNAG_00304	CNAG_00304	208.81	0.0026155	0.15118	0.99834
R_30	CNAG_00305	CNAG_00305	2382.3	-0.14947	0.15324	0.62652
R_30	CNAG_00306	MTN2	39.33	0.14396	0.39991	0.88159
R_30	CNAG_00307	CNAG_00307	1339.6	0.053414	0.13486	0.86671
R_30	CNAG_00308	CNAG_00308	82.092	0.38539	0.28577	0.46172
R_30	CNAG_00309	CNAG_00309	196.1	0.35571	0.13616	0.088481
R_30	CNAG_00310	CNAG_00310	164.12	0.011484	0.16749	0.98437
R_30	CNAG_00311	CNAG_00311	547.85	0.32649	0.13546	0.12418
R_30	CNAG_00312	CNAG_00312	138.61	-0.21308	0.19532	0.57745
R_30	CNAG_00313	CNAG_00313	130.68	-0.068493	0.14066	0.83415
R_30	CNAG_00314	CNAG_00314	101.77	0.46797	0.32142	0.41654
R_30	CNAG_00315	CNAG_00315	400.33	-0.93091	0.37556	0.11108
R_30	CNAG_00316	HAM1	223.59	-0.12271	0.14321	0.67762
R_30	CNAG_00317	CNAG_00317	508.92	-0.050273	0.19272	0.92039
R_30	CNAG_00318	CNAG_00318	618.47	-0.28048	0.23275	0.52645
R_30	CNAG_00319	CNAG_00319	428.61	0.39077	0.14024	0.061379
R_30	CNAG_00320	CNAG_00320	142.72	0.069741	0.12797	0.81088
R_30	CNAG_00321	CNAG_00321	58.231	-1.1607	0.77423	0.4012
R_30	CNAG_00322	CNAG_00322	213.64	-0.43927	0.20408	0.18278
R_30	CNAG_00323	CNAG_00323	2.1248	-0.76786	1.1803	0.76514
R_30	CNAG_00326	CNAG_00326	1034	0.21349	0.12414	0.31585
R_30	CNAG_00327	CNAG_00327	55.367	0.57236	0.26545	0.18235
R_30	CNAG_00328	CNAG_00328	260.13	-0.37518	0.24301	0.38451
R_30	CNAG_00329	CNAG_00329	584.88	-0.51598	0.20977	0.11472
R_30	CNAG_00330	CNAG_00330	670.86	0.073261	0.1564	0.8416
R_30	CNAG_00331	CNAG_00331	135.63	-0.30085	0.21703	0.44788
R_30	CNAG_00332	SIP4	497.04	-0.23257	0.16374	0.43375
R_30	CNAG_00333	CNAG_00333	30.766	0.17616	0.32458	0.81185
R_30	CNAG_00334	CNAG_00334	18024	0.054222	0.14615	0.87697
R_30	CNAG_00335	CNAG_00335	330.56	0.27756	0.13171	0.19444
R_30	CNAG_00337	CNAG_00337	1037.3	-0.41466	0.13059	0.0286
R_30	CNAG_00342	CNAG_00342	454.06	-0.18446	0.12851	0.42678
R_30	CNAG_00343	CNAG_00343	57.656	0.11138	0.28044	0.86664
R_30	CNAG_00344	CNAG_00344	79.843	0.085428	0.18592	0.84423
R_30	CNAG_00345	CNAG_00345	397.71	0.26875	0.17493	0.38685
R_30	CNAG_00346	CNAG_00346	128.11	0.33626	0.27994	0.52815
R_30	CNAG_00347	CNAG_00347	235.15	-0.063278	0.2306	0.91621
R_30	CNAG_00348	CNAG_00348	606.66	-0.29315	0.15665	0.26497
R_30	CNAG_00349	CNAG_00349	451.57	-0.38154	0.2052	0.26985
R_30	CNAG_00351	CNAG_00351	224.49	0.14236	0.14454	0.62395
R_30	CNAG_00352	CNAG_00352	379.41	-5.9705e-4	0.18503	0.99947
R_30	CNAG_00353	LPI16	150.13	-0.16053	0.19005	0.6831
R_30	CNAG_00354	CNAG_00354	1044.5	-0.061389	0.10647	0.79564
R_30	CNAG_00355	CNAG_00355	1087.9	-0.11845	0.14029	0.6831
R_30	CNAG_00356	CNAG_00356	301.74	-0.063306	0.18699	0.88957
R_30	CNAG_00357	CNAG_00357	250.06	0.073419	0.13465	0.81083
R_30	CNAG_00358	CNAG_00358	295.5	-0.2576	0.12626	0.21285
R_30	CNAG_00359	CNAG_00359	385.34	-0.21025	0.14476	0.41832
R_30	CNAG_00360	CNAG_00360	778.39	0.09004	0.2087	0.85433
R_30	CNAG_00361	RVS167	573.7	-0.36701	0.18389	0.22722
R_30	CNAG_00362	CNAG_00362	222.62	-0.26649	0.14304	0.26855
R_30	CNAG_00363	TCO6	744.31	0.10701	0.15402	0.74664
R_30	CNAG_00364	CNAG_00364	226.55	0.22174	0.14691	0.39702
R_30	CNAG_00365	CNAG_00365	264.61	-0.26828	0.14197	0.25867
R_30	CNAG_00366	CNAG_00366	21.469	-0.13871	0.43541	0.89783
R_30	CNAG_00367	DYN5	130.29	0.071461	0.2098	0.88904
R_30	CNAG_00368	CNAG_00368	124.38	0.24791	0.21501	0.55047
R_30	CNAG_00369	CNAG_00369	263.63	-0.15837	0.1465	0.58124
R_30	CNAG_00370	UBI1	4869.1	0.20672	0.16234	0.49732
R_30	CNAG_00371	CNAG_00371	56.971	0.050562	0.28796	0.95167
R_30	CNAG_00372	CNAG_00372	332.56	-0.17222	0.18824	0.65215
R_30	CNAG_00373	CNAG_00373	81.692	0.29389	0.29504	0.62137
R_30	CNAG_00374	CNAG_00374	917.29	0.45858	0.19161	0.12662
R_30	CNAG_00375	GCN5	319.41	-0.125	0.12572	0.62141
R_30	CNAG_00377	CNAG_00377	431.54	0.058755	0.17757	0.89344
R_30	CNAG_00378	CNAG_00378	308.35	-0.40818	0.32556	0.50436
R_30	CNAG_00383	APT3	327.17	0.35716	0.13303	0.076573
R_30	CNAG_00384	CNAG_00384	12.38	-0.60447	0.66657	0.65597
R_30	CNAG_00385	CNAG_00385	598.37	-0.4943	0.17036	0.049406
R_30	CNAG_00386	CNAG_00386	736.21	0.21583	0.19964	0.58124
R_30	CNAG_00387	LPI13	268.52	0.032395	0.11907	0.91743
R_30	CNAG_00388	CNAG_00388	535.55	0.019988	0.1265	0.95842
R_30	CNAG_00389	CNAG_00389	223.32	-0.12012	0.1622	0.72939
R_30	CNAG_00390	YMR1	82.559	-0.54096	0.21916	0.11311
R_30	CNAG_00391	CNAG_00391	255.18	0.30037	0.31593	0.63724
R_30	CNAG_00392	CNAG_00392	64.308	0.13938	0.27633	0.82894
R_30	CNAG_00393	CNAG_00393	759.36	0.23995	0.47798	0.82961
R_30	CNAG_00394	CNAG_00394	1652.4	0.022546	0.1966	0.97231
R_30	CNAG_00395	CNAG_00395	224.93	-0.12721	0.14724	0.67435
R_30	CNAG_00396	PKA1	308.05	0.32413	0.13827	0.13657
R_30	CNAG_00397	CNAG_00397	179.53	-0.52303	0.45191	0.54833
R_30	CNAG_00398	CNAG_00398	505.25	0.24528	0.17604	0.44463
R_30	CNAG_00399	CNAG_00399	760.18	-0.37287	0.15993	0.13913
R_30	CNAG_00400	CNAG_00400	668.1	-0.52128	0.19223	0.071938
R_30	CNAG_00401	CNAG_00401	212.79	-0.2689	0.16371	0.34528
R_30	CNAG_00402	CNAG_00402	979.42	0.028362	0.21115	0.96627
R_30	CNAG_00403	CNAG_00403	71.623	0.75214	0.3117	0.12349
R_30	CNAG_00404	CNAG_00404	334.16	-0.35499000000000003	0.22343	0.36591
R_30	CNAG_00405	KIC1	135.84	-0.30899	0.17859	0.31275
R_30	CNAG_00406	CNAG_00406	76.086	-0.0021186	0.20684	0.99881
R_30	CNAG_00407	CNAG_00407	989.7	1.0992	0.2017	1.2225e-5
R_30	CNAG_00408	PPH3	1446.1	0.28911	0.17427	0.33789
R_30	CNAG_00409	CNAG_00409	105.36	0.89092	0.25296	0.012417
R_30	CNAG_00410	CNAG_00410	366.46	-0.20149	0.11991	0.33024
R_30	CNAG_00411	CNAG_00411	338.7	0.21133	0.13316	0.36675
R_30	CNAG_00413	OFD1	971.68	-0.31278	0.11582	0.073581
R_30	CNAG_00414	MAK32	86.901	-0.41369	0.21889	0.25867
R_30	CNAG_00415	CDC2801	128.37	-0.15113	0.14862	0.6111
R_30	CNAG_00416	CNAG_00416	122.46	0.043544	0.16195	0.91817
R_30	CNAG_00417	CNAG_00417	3423.1	0.047233	0.099175	0.83817
R_30	CNAG_00418	CNAG_00418	2253.7	0.23709	0.13651	0.30938
R_30	CNAG_00419	CNAG_00419	245.23	-0.63127	0.59204	0.58849
R_30	CNAG_00420	CNAG_00420	180.27	0.22513	0.17446	0.48923
R_30	CNAG_00421	CNAG_00421	990.18	-0.2291	0.14268	0.35779
R_30	CNAG_00422	CNAG_00422	207.37	-0.19982	0.14771	0.45997
R_30	CNAG_00423	CNAG_00423	58.932	0.062651	0.21176	0.90661
