gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00262	NA	125.45	1.016	0.195	4.154e-7
CNAG_00263	PTP4	282.24	0.112	0.134	0.454
CNAG_00264	NA	1190.91	-0.003	0.141	0.9879
CNAG_00265	IDI1	402.92	2.18	0.17	9.197999999999999e-37
CNAG_00266	YFH7	110.012	0.35	0.182	0.07021
CNAG_00267	NA	72.628	-0.809	0.229	6.644e-4
CNAG_00268	ILV2	325.679	3.264	0.232	5.868999999999999e-44
CNAG_00269	NA	18.883	-3.549	0.528	4.838e-11
CNAG_00270	NA	773.134	1.092	0.197	6.813e-8
CNAG_00271	NA	176.328	-0.15	0.172	0.4313
CNAG_00272	NA	174.798	0.494	0.183	0.01007
CNAG_00273	NA	56.607	-0.661	0.242	0.009247
CNAG_00274	NA	96.508	0.249	0.2	0.2495
CNAG_00275	NA	29.805	0.53	0.296	0.09243
CNAG_00276	NA	111.892	-1.059	0.213	1.269e-6
CNAG_00277	NA	105.665	0.958	0.184	4.162e-7
CNAG_00278	NA	101.96	1.279	0.192	8.285e-11
CNAG_00279	NA	147.377	0.67	0.167	1.054e-4
CNAG_00280	NA	397.6	0.905	0.141	3.386e-10
CNAG_00283	NA	217.699	-1.941	0.19	1.019e-23
CNAG_00284	NA	508.591	-3.399	0.154	1.3319999999999999e-106
CNAG_00285	NA	170.671	-0.385	0.203	0.0741
CNAG_00286	NAB2	411.379	-0.3	0.127	0.02487
CNAG_00287	NA	958.476	2.624	0.17	8.303e-53
CNAG_00288	NA	240.506	-1.609	0.203	6.62e-15
CNAG_00289	NA	113.175	0.591	0.196	0.003966
CNAG_00290	NA	251.809	-0.114	0.187	0.5886
CNAG_00291	NA	28.042	1.431	0.391	4.259e-4
CNAG_00292	NA	1327.318	2.488	0.121	1.2529999999999997e-92
CNAG_00293	RAS1	297.408	0.492	0.163	0.003752
CNAG_00294	NA	207.994	0.306	0.19	0.1315
CNAG_00295	NA	1.963	0.614	1.058	0.6066
CNAG_00299	NA	126.766	1.637	0.224	8.042e-13
CNAG_00300	NA	218.927	0.529	0.172	0.003191
CNAG_00301	NA	956.112	-2.46	0.164	6.741e-50
CNAG_00302	NA	43.143	2.596	0.329	9.615e-15
CNAG_00303	NA	12.953	-0.84	0.462	0.088
CNAG_00304	NA	127.639	0.629	0.195	0.001958
CNAG_00305	NA	1702.118	3.45	0.17	2.336e-90
CNAG_00306	MTN2	31.979	-1.692	0.382	1.789e-5
CNAG_00307	NA	974.28	-0.01	0.143	0.9527
CNAG_00308	NA	50.898	-0.467	0.271	0.1067
CNAG_00309	NA	148.232	-0.487	0.175	0.007772
CNAG_00310	NA	107.434	-0.015	0.209	0.9527
CNAG_00311	NA	391.768	-0.114	0.169	0.5489
CNAG_00312	NA	97.606	0.128	0.205	0.5765
CNAG_00313	NA	101.262	-0.382	0.194	0.06369
CNAG_00314	NA	111.905	-1.429	0.183	1.625e-14
CNAG_00315	NA	579.668	-3.515	0.137	4.3029999999999986e-144
CNAG_00316	HAM1	128.599	1.227	0.176	8.938e-12
CNAG_00317	NA	467.195	-0.28	0.243	0.2913
CNAG_00318	NA	632.421	-1.527	0.255	5.111e-9
CNAG_00319	NA	250.169	0.955	0.188	8.385e-7
CNAG_00320	NA	69.538	1.217	0.233	3.89e-7
CNAG_00321	NA	66.795	2.221	0.778	0.006334
CNAG_00322	NA	118.992	0.108	0.232	0.6842
CNAG_00323	NA	1.307	2.202	1.568	0.1931
CNAG_00326	NA	1090.067	-0.507	0.128	1.357e-4
CNAG_00327	NA	40.898	0.007	0.247	0.9821
CNAG_00328	NA	333.584	-0.887	0.229	1.895e-4
CNAG_00329	NA	413.608	1.021	0.184	6.423e-8
CNAG_00330	NA	329.43	0.289	0.16	0.08938
CNAG_00331	NA	100.014	-0.315	0.227	0.1989
CNAG_00332	SIP4	311.026	1.19	0.134	3.384e-18
CNAG_00333	NA	27.953	-2.603	0.37	5.98e-12
CNAG_00334	NA	7594.632	2.583	0.147	1.9139999999999997e-67
CNAG_00335	NA	214.073	0.027	0.172	0.8954
CNAG_00337	NA	959.692	0.584	0.163	5.892e-4
CNAG_00342	NA	319.095	0.413	0.15	0.008763
CNAG_00343	NA	37.3	0.261	0.27	0.3792
CNAG_00344	NA	52.48	1.62	0.245	1.082e-10
CNAG_00345	NA	266.161	0.836	0.158	2.576e-7
CNAG_00346	NA	162.699	-2.121	0.214	2.16e-22
CNAG_00347	NA	172.989	1.49	0.189	1.043e-14
CNAG_00348	NA	595.813	-1.638	0.17	2.045e-21
CNAG_00349	NA	38.456	1.865	0.322	1.613e-8
CNAG_00351	NA	130.986	0.851	0.194	2.184e-5
CNAG_00352	NA	229.083	0.521	0.232	0.03324
CNAG_00353	LPI16	99.325	-0.219	0.224	0.3717
CNAG_00354	NA	1172.706	-1.464	0.106	1.793e-42
CNAG_00355	NA	1003.049	-0.449	0.112	1.049e-4
CNAG_00356	NA	223.208	-0.285	0.198	0.183
CNAG_00357	NA	202.462	0.962	0.177	1.284e-7
CNAG_00358	NA	103.547	1.839	0.197	5.0060000000000006e-20
CNAG_00359	NA	217.634	0.724	0.149	2.426e-6
CNAG_00360	NA	1401.674	-2.319	0.203	1.8189999999999998e-29
CNAG_00361	RVS167	335.511	0.555	0.16	8.725e-4
CNAG_00362	NA	174.733	1.001	0.157	4.723e-10
CNAG_00363	TCO6	741.344	-0.923	0.179	5.004e-7
CNAG_00364	NA	218.907	-0.435	0.16	0.009467
CNAG_00365	NA	179.404	0.843	0.194	2.606e-5
CNAG_00366	NA	28.676	-1.344	0.376	5.861e-4
CNAG_00367	DYN5	124.806	-1.006	0.201	1.158e-6
CNAG_00368	NA	110.436	-0.169	0.205	0.4564
CNAG_00369	NA	203.476	-0.269	0.152	0.09577
CNAG_00370	UBI1	2560.438	2.421	0.154	1.7969999999999995e-54
CNAG_00371	NA	69.782	-1.986	0.23	2.053e-17
CNAG_00372	NA	320.239	0.447	0.193	0.02743
CNAG_00373	NA	34.216	0.794	0.333	0.0237
CNAG_00374	NA	1320.412	-2.614	0.182	1.471e-45
CNAG_00375	GCN5	238.37	0.313	0.162	0.06923
CNAG_00377	NA	337.736	-0.245	0.219	0.3066
CNAG_00378	NA	254.634	1.378	0.286	2.949e-6
CNAG_00383	APT3	338.189	-1.12	0.144	2.348e-14
CNAG_00384	NA	4.146	-0.263	0.731	0.7561
CNAG_00385	NA	325.793	0.67	0.162	6.41e-5
CNAG_00386	NA	355.167	3.035	0.203	1.2050000000000001e-49
CNAG_00387	LPI13	189.292	0.5	0.16	0.002802
CNAG_00388	NA	365.088	0.091	0.208	0.7007
CNAG_00389	NA	139.101	0.974	0.2	2.087e-6
CNAG_00390	YMR1	68.341	0.321	0.213	0.1607
CNAG_00391	NA	210.475	-0.104	0.498	0.8606
CNAG_00392	NA	55.997	0.013	0.32	0.9729
CNAG_00393	NA	773.842	-1.66	0.135	1.055e-33
CNAG_00394	NA	1160.584	-1.03	0.196	3.241e-7
CNAG_00395	NA	164.348	0.429	0.164	0.01293
CNAG_00396	PKA1	307.341	-1.186	0.144	5.777e-16
CNAG_00397	NA	222.938	-0.102	0.287	0.758
CNAG_00398	NA	589.525	-1.195	0.213	4.921e-8
CNAG_00399	NA	774.019	-1.687	0.145	1.839e-30
